V2_mean	Isense_mean
510	509
152	1023	499
152	1023	498
152	1023	499
153	1023	498
153	1023	499
153	1023	498
153	1023	499
153	1023	498
153	1023	499
153	1023	498
153	1023	498
153	1023	498
153	1023	498
154	1023	498
154	1023	498
154	1023	498
154	1023	498
154	1023	498
154	1023	498
154	1023	498
154	1023	497
154	1023	498
154	1023	497
155	1023	498
155	1023	497
155	1023	497
155	1023	497
155	1023	498
155	1023	498
155	1023	497
155	1023	497
155	1023	497
155	1023	497
156	1023	498
156	1023	497
156	1023	496
156	1023	497
156	1023	497
156	1023	497
156	1023	497
156	1023	496
156	1023	497
156	1023	496
157	1023	497
157	1023	496
157	1023	496
157	1023	496
157	1023	496
157	1023	497
157	1023	497
157	1023	497
157	1023	496
157	1023	496
158	1023	496
158	1023	496
158	1023	496
158	1023	496
158	1023	495
158	1023	496
158	1023	496
158	1023	496
158	1023	496
158	1023	495
159	1023	495
159	1023	495
159	1023	495
159	1023	496
159	1023	495
159	1023	495
159	1023	495
159	1023	495
159	1023	495
159	1023	494
160	1023	495
160	1023	494
160	1023	495
160	1023	495
160	1023	496
160	1023	494
160	1023	494
160	1023	495
160	1023	494
160	1023	495
161	1023	494
161	957	494
161	958	494
161	958	494
161	958	495
161	959	494
161	959	494
161	959	493
161	959	494
161	961	494
162	961	494
162	872	494
162	872	494
162	873	493
162	874	493
162	874	493
162	874	494
162	875	493
162	875	494
162	876	494
163	876	494
163	767	493
163	769	493
163	770	493
163	770	494
163	771	493
163	771	492
163	772	493
163	772	493
163	772	492
164	773	493
164	648	492
164	649	492
164	650	493
164	650	493
164	650	492
164	650	492
164	650	492
164	651	493
164	651	492
165	652	492
165	501	491
165	501	492
165	502	492
165	502	492
165	503	492
165	503	491
165	503	491
165	503	492
165	504	492
166	504	492
166	319	491
166	319	491
166	319	491
166	319	491
166	321	491
166	321	490
166	322	491
166	322	491
166	322	492
167	323	491
167	233	490
167	233	491
167	233	491
167	233	491
167	232	491
167	233	490
167	233	490
167	233	490
167	233	490
168	233	491
168	419	490
168	419	490
168	419	490
168	419	490
168	420	490
168	418	490
168	419	490
168	419	489
168	419	490
169	418	490
169	622	490
169	624	489
169	623	489
169	623	490
169	623	489
169	624	490
169	622	489
169	623	489
169	623	490
170	623	489
170	790	490
170	790	489
170	790	489
170	790	489
170	790	489
170	790	489
170	790	488
170	791	489
170	790	489
171	790	489
171	891	488
171	891	488
171	891	488
171	891	488
171	891	489
171	891	488
171	891	488
171	891	487
171	891	488
172	891	488
172	765	489
172	766	488
172	766	487
172	767	488
172	767	487
172	767	488
172	767	488
172	767	488
172	767	487
173	767	487
173	522	487
173	524	488
173	524	487
173	524	488
173	525	487
173	527	487
173	526	487
173	526	487
173	527	487
174	527	486
174	118	487
174	120	487
174	120	487
174	121	486
174	122	486
174	123	487
174	124	487
174	124	486
174	125	487
175	125	486
175	40	486
175	41	486
175	41	486
175	42	486
175	42	486
175	43	486
175	43	486
175	44	486
175	45	486
176	45	485
176	43	486
176	44	486
176	44	485
176	45	485
176	45	485
176	46	486
176	47	485
176	47	485
176	48	485
177	48	485
177	49	486
177	49	485
177	50	485
177	51	485
177	51	485
177	52	485
177	52	485
177	53	485
177	53	485
178	54	485
178	55	485
178	56	484
178	56	485
178	57	484
178	57	484
